stat,pair,arm,simulated,draw_sd,model,observed,n
post_press_relief,costly_relief_vs_inert,works,0.3715373664706581,0.027266569090454888,M0Q,0.5694444444444444,216
post_press_relief,destructive_relief_vs_inert,placebo,0.4248529873812158,0.0284624749161403,M0Q,0.9060773480662984,181
post_press_relief,destructive_relief_vs_inert,works,0.1829137787656097,0.019302882908013432,M0Q,0.3812154696132597,181
post_press_relief,kidspics_relief_vs_inert,placebo,0.6454279344183885,0.02125526552746537,M0Q,0.9361702127659575,235
post_press_relief,kidspics_relief_vs_inert,works,0.15473317546644078,0.016992550327693676,M0Q,0.23829787234042554,235
post_press_relief,label_free,placebo,0.5099407803145372,0.0058090295476734164,M0Q,0.7974921630094044,1595
post_press_relief,label_free,works,0.4623597891121573,0.011253876173450424,M0Q,0.5768025078369906,1595
post_press_relief,relief_vs_grant,placebo,0.6546511134014917,0.022925692913288175,M0Q,0.8925925925925926,270
post_press_relief,relief_vs_grant,works,0.8046987548166934,0.019740145263922367,M0Q,0.7666666666666667,270
post_press_relief,relief_vs_helpful,placebo,0.11177548583138404,0.03336385915068982,M0Q,0.6111111111111112,72
post_press_relief,relief_vs_helpful,works,0.14977902168874285,0.04074296546753934,M0Q,0.25,72
post_press_relief,relief_vs_inert,placebo,0.8956564622765819,0.013339725262229143,M0Q,0.9786585365853658,328
post_press_relief,relief_vs_inert,works,0.9764898562377752,0.008303610756693634,M0Q,0.9878048780487805,328
post_press_relief,weights_relief_vs_inert,placebo,0.802986885065508,0.02211729675133269,M0Q,0.940983606557377,305
post_press_relief,weights_relief_vs_inert,works,0.2644451899751986,0.01641810079729367,M0Q,0.4918032786885246,305
post_press_relief,zap_relief_vs_inert,placebo,0.7922804757753041,0.020147554136343653,M0Q,0.9726027397260274,292
post_press_relief,zap_relief_vs_inert,works,0.4482323033636132,0.02589161806790429,M0Q,0.5821917808219178,292
name_repetition,costly_relief_vs_inert,placebo,0.6911509900990099,0.008073064483812087,M1Q,0.693069306930693,1616
